
Host: cpu-spot-dy-c5n2xlarge-1

Timers On : Mon Jun 21 22:11:15 2021
Timers Off: Mon Jun 21 22:23:12 2021

Wall Time:      717.15 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
HF: Form S/X                        :      2.367u      0.017s      0.180w     11 calls
HF: Guess                           :      9.733u      0.300s      0.754w     11 calls
SAD Guess                           :      9.533u      0.283s      0.736w      1 calls
HF: Form G                          :   7061.917u     89.517s    537.565w    145 calls
RV: Form V                          :   1729.033u      0.367s    129.808w    145 calls
Properties                          :    487.360p                         601888 calls
Functional                          :    153.208p                         601888 calls
V_xc                                :    583.724p                         559442 calls
JK: D                               :      0.450u      0.000s      0.039w    145 calls
JK: USO2AO                          :      0.767u      0.000s      0.052w    145 calls
JK: JK                              :   5330.267u     89.150s    407.552w    145 calls
JK: J                               :     47.850u      0.717s      4.297w    145 calls
JK: J1                              :     27.567u      0.400s      2.132w    145 calls
JK: J2                              :     19.167u      0.250s      2.080w    145 calls
JK: K                               :   1681.383u      4.550s    126.681w    145 calls
JK: K1                              :   1388.450u      0.617s    104.296w    145 calls
JK: K2                              :    292.767u      3.933s     22.361w    145 calls
JK: wK                              :   2983.717u      5.450s    224.465w    290 calls
JK: wK1                             :   2689.017u      1.000s    201.971w    580 calls
JK: wK2                             :    292.617u      4.417s     22.446w    290 calls
JK: AO2USO                          :      0.033u      0.000s      0.000w    145 calls
HF: Form F                          :      0.683u      0.000s      0.053w    145 calls
HF: Form D                          :      0.233u      0.017s      0.032w    145 calls
HF: DIIS                            :     13.567u      1.200s      1.101w    144 calls
DIISManager::add_entry              :      2.917u      0.317s      0.208w    134 calls
DIISManager::extrapolate            :      5.650u      0.683s      0.464w    134 calls
bMatrix setup                       :      2.633u      0.400s      0.219w    134 calls
bMatrix pseudoinverse               :      0.117u      0.000s      0.009w    134 calls
New vector                          :      2.883u      0.283s      0.235w    134 calls
HF: Form C                          :     28.917u      0.433s      2.208w    144 calls
Grad: V T Perturb                   :     55.417u      0.400s      4.191w     11 calls
Grad: S                             :      0.433u      0.000s      0.036w     11 calls
Grad: JK                            :   2163.517u     66.533s    216.238w     11 calls
JKGrad: Amn                         :    260.200u     16.200s     31.917w     11 calls
JKGrad: Awmn                        :    285.900u     15.783s     33.484w     11 calls
JKGrad: AB                          :     98.200u      2.583s     12.185w     11 calls
JKGrad: UV                          :     20.983u      2.067s      3.455w     11 calls
JKGrad: ABx                         :     11.967u      0.350s      1.309w     11 calls
JKGrad: Amnx                        :   1466.200u     28.483s    132.295w     11 calls
Grad: XC                            :    514.933u      0.183s     38.666w     11 calls
V_xc gradient                       :    117.039p                          42446 calls

--------------------------------------------------------------------------------------
V: Grid                             :     90.033u      0.767s      7.413w     11 calls
JK: (A|mn)                          :    348.050u      0.067s     26.133w     11 calls
JK: (A|Q)^-1/2                      :     81.283u      0.983s      9.373w     11 calls
JK: (Q|mn)                          :     73.017u      0.000s     10.968w     11 calls
JK: (A|mn)^L                        :    145.100u      0.133s     10.908w     11 calls
JK: (A|Q)^-1                        :     80.800u      0.950s      9.297w     11 calls
JK: (Q|mn)^L                        :     70.167u      0.000s     10.527w     11 calls
JK: (A|mn)^R                        :    169.300u      0.050s     12.710w     11 calls
HF: Form core H                     :      1.200u      0.083s      0.101w     11 calls
HF: Form S/X                        :      2.367u      0.017s      0.180w     11 calls
HF: Guess                           :      9.733u      0.300s      0.754w     11 calls
| SAD Guess                         :      9.533u      0.283s      0.736w      1 calls
HF: Form G                          :   7061.917u     89.517s    537.565w    145 calls
| RV: Form V                        :   1729.033u      0.367s    129.808w    145 calls
| | Properties                      :    308.866p                         559442 calls
| | Functional                      :    141.994p                         559442 calls
| | V_xc                            :    583.724p                         559442 calls
| JK: D                             :      0.450u      0.000s      0.039w    145 calls
| JK: USO2AO                        :      0.767u      0.000s      0.052w    145 calls
| JK: JK                            :   5330.267u     89.150s    407.552w    145 calls
| | JK: J                           :     47.850u      0.717s      4.297w    145 calls
| | | JK: J1                        :     27.567u      0.400s      2.132w    145 calls
| | | JK: J2                        :     19.167u      0.250s      2.080w    145 calls
| | JK: K                           :   1681.383u      4.550s    126.681w    145 calls
| | | JK: K1                        :   1388.450u      0.617s    104.296w    145 calls
| | | JK: K2                        :    292.767u      3.933s     22.361w    145 calls
| | JK: wK                          :   2983.717u      5.450s    224.465w    290 calls
| | | JK: wK1                       :   2689.017u      1.000s    201.971w    580 calls
| | | JK: wK2                       :    292.617u      4.417s     22.446w    290 calls
| JK: AO2USO                        :      0.033u      0.000s      0.000w    145 calls
HF: Form F                          :      0.683u      0.000s      0.053w    145 calls
HF: Form D                          :      0.233u      0.017s      0.032w    145 calls
HF: DIIS                            :     13.567u      1.200s      1.101w    144 calls
| DIISManager::add_entry            :      2.917u      0.317s      0.208w    134 calls
| DIISManager::extrapolate          :      5.650u      0.683s      0.464w    134 calls
| | bMatrix setup                   :      2.633u      0.400s      0.219w    134 calls
